PassengerId,HomePlanet,CryoSleep,Cabin,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Name,Gender,Transported
0031_01,Mars,False,F/9/P,TRAPPIST-1e,47,False,214,0,1411,0,1229,Coobix Datie,F,True
0031_02,Mars,False,F/9/P,TRAPPIST-1e,2,False,0,0,0,0,0,Cinets Datie,M,True
0031_03,Mars,False,F/9/P,TRAPPIST-1e,20,False,,0,1750,990,0,Dontch Datie,F,True
0034_01,Europa,True,D/1/S,55 Cancri e,28,False,0,0,0,0,0,Ziba Oingwhedly,M,True
0035_01,Mars,False,D/1/P,55 Cancri e,23,False,784,964,0,951,0,Luse Butte,F,False
0036_01,Earth,False,F/8/S,55 Cancri e,15,,0,492,48,20,401,Marina Leodger,M,False
0038_01,Earth,False,F/10/S,55 Cancri e,20,False,554,195,0,2606,0,Loise Wheelez,F,False
0039_01,Earth,True,G/1/P,55 Cancri e,30,False,0,0,,0,0,Jorgie Batthewitt,M,False
0041_01,Earth,True,G/2/P,TRAPPIST-1e,17,False,0,0,0,0,0,Margia Moodsey,F,True
0043_01,Europa,False,B/3/P,TRAPPIST-1e,45,False,0,164,45,2511,855,Ankalik Cylistrand,M,False
0044_01,Earth,True,G/3/P,TRAPPIST-1e,55,False,0,0,0,0,0,Jodye Coopelandez,F,False
0044_02,Earth,True,G/3/P,55 Cancri e,4,False,0,0,0,0,0,Kayne Coopelandez,M,True
0044_03,Earth,True,G/3/P,PSO J318.5-22,21,False,0,0,0,0,0,Cassa Coopelandez,F,True
0045_01,Mars,False,F/10/P,TRAPPIST-1e,21,False,970,0,180,0,64,Zelowl Chmad,M,False
0045_02,Mars,True,F/10/P,,19,False,0,0,0,0,0,Mass Chmad,F,True
0050_01,Earth,False,E/1/S,55 Cancri e,35,False,790,0,0,,0,Sony Lancis,M,False
0051_01,Earth,False,E/2/S,TRAPPIST-1e,56,False,0,112,0,1379,127,Vivia Johnshines,F,False
0052_01,Earth,False,G/6/S,TRAPPIST-1e,,False,4,0,2,4683,0,Elaney Hubbarton,M,False
0053_01,Earth,False,F/11/S,TRAPPIST-1e,25,False,0,0,1938,0,1,Elson Hickerson,F,True
0056_01,Europa,False,A/1/S,TRAPPIST-1e,2,False,0,0,0,0,0,Okulas Tractive,M,True
0056_02,Europa,True,A/1/S,TRAPPIST-1e,38,False,0,0,0,0,0,Instab Tractive,F,True
0056_03,Europa,False,A/1/S,TRAPPIST-1e,27,False,279,605,3374,286,3,Zinoces Tractive,M,True
0058_01,Earth,True,G/7/S,PSO J318.5-22,36,False,0,0,0,0,0,Warry Ayalazquez,F,False
0061_01,Earth,False,F/12/S,TRAPPIST-1e,22,False,45,1096,148,1377,1,Shanya Salez,M,False
0062_01,Earth,False,F/13/S,TRAPPIST-1e,62,False,0,592,0,17,25,Sterry Greeves,F,False
0064_01,Mars,True,F/14/S,TRAPPIST-1e,15,False,0,0,0,0,0,,,True
0064_02,,True,E/3/S,TRAPPIST-1e,33,False,0,0,,0,0,Colatz Keen,F,True
0066_01,Earth,False,G/6/P,TRAPPIST-1e,62,False,1,153,197,0,460,Diandy Pecketton,M,False
0067_01,Earth,True,G/10/S,PSO J318.5-22,0,False,0,0,0,0,0,Ninaha Leeves,F,True
0067_02,Earth,False,G/10/S,TRAPPIST-1e,18,False,1,258,446,0,0,Celine Leeves,M,True
0067_03,Earth,False,F/15/S,55 Cancri e,21,False,1946,37,0,0,24,Velyne Leeves,F,False
0068_01,Mars,False,E/4/S,TRAPPIST-1e,,False,793,0,2,253,0,Cinst Binie,M,False
0069_01,Earth,False,F/16/S,TRAPPIST-1e,42,False,887,0,9,6,0,,,True
0070_01,Earth,False,F/13/P,TRAPPIST-1e,19,False,190,0,5,1,726,Meremy Brighttt,M,False
0071_01,Earth,False,F/14/P,TRAPPIST-1e,17,False,16,2165,0,0,52,Nelly Dillines,F,False
0072_01,Earth,False,F/17/S,TRAPPIST-1e,14,False,0,1,0,0,1063,Thell Brantuarez,M,False
0073_01,Mars,False,D/3/P,PSO J318.5-22,37,False,46,83,738,0,12,Gorn Make,F,False
0074_01,Europa,False,C/3/S,TRAPPIST-1e,42,False,1,8397,0,0,506,Aldibah Mostedry,M,True
0076_01,Mars,False,F/18/S,TRAPPIST-1e,27,False,147,0,1018,0,0,Conk Dal,F,True
0077_01,Mars,False,F/15/P,TRAPPIST-1e,28,False,14,0,1295,0,0,Pon Blité,M,True
0078_01,Europa,False,C/4/S,TRAPPIST-1e,38,False,0,5840,0,321,9654,Spuri Pokerheed,F,False
0081_01,Earth,True,G/13/S,TRAPPIST-1e,13,False,0,0,0,0,0,Dellie Vinozarks,M,False
0082_01,Mars,False,F/16/P,TRAPPIST-1e,42,False,7406,0,0,0,0,Totse Datte,F,False
0082_02,Mars,True,F/16/P,TRAPPIST-1e,2,False,0,0,0,0,0,Eaturs Datte,M,True
0082_03,Mars,False,F/16/P,TRAPPIST-1e,8,False,0,0,0,0,0,,,True
0084_01,Earth,False,G/14/S,TRAPPIST-1e,24,False,688,0,0,0,17,Coren Coopezmaney,M,True
0085_01,Europa,True,C/5/S,TRAPPIST-1e,40,False,0,0,0,0,0,Furudah Ellcefulve,F,True
0086_01,Earth,False,F/17/P,TRAPPIST-1e,43,False,211,0,0,638,513,Jodye Kinson,M,False
0088_01,Mars,True,E/5/S,PSO J318.5-22,45,False,0,0,0,0,0,Stmeal Sacre,F,True
0090_01,Earth,True,G/15/S,TRAPPIST-1e,35,False,0,0,0,0,0,Heremy Santry,M,True
0091_01,Earth,True,G/16/S,TRAPPIST-1e,26,False,,0,0,0,0,Deanne Yorkland,F,True
0091_02,Earth,False,F/20/S,TRAPPIST-1e,27,False,1,697,31,188,0,Tinez Yorkland,M,False
0092_01,Earth,False,G/9/P,TRAPPIST-1e,19,False,0,0,670,1,34,Gracy Dunnisey,F,False
0092_02,Earth,True,G/9/P,TRAPPIST-1e,0,False,0,0,,0,0,Stald Hewson,M,True
0092_03,Earth,True,G/9/P,TRAPPIST-1e,3,False,0,0,0,0,0,Tiney Hewson,F,True
0097_01,Europa,False,A/2/S,TRAPPIST-1e,54,False,0,1208,0,3,637,Alchium Fictful,M,False
0098_01,Earth,False,G/11/P,TRAPPIST-1e,26,False,0,856,5,32,0,Doria Carezquez,F,False
0098_02,Earth,False,G/11/P,TRAPPIST-1e,26,False,0,2811,957,0,87,Leence Carezquez,M,True
0099_01,Earth,False,F/19/P,PSO J318.5-22,23,False,311,427,526,37,0,Aliey Leetersoney,F,False
0099_02,Earth,,G/12/P,TRAPPIST-1e,2,False,0,0,0,0,0,Thewis Connelson,M,True
0101_01,Mars,True,,TRAPPIST-1e,31,False,0,0,0,0,0,Book Trad,F,True
0102_01,Earth,False,F/23/S,TRAPPIST-1e,18,False,0,0,0,830,91,Ritany Holson,M,False
0103_01,Earth,False,F/24/S,TRAPPIST-1e,24,False,0,,0,0,17,Arlen Mclainez,F,True
0103_02,Earth,True,G/18/S,55 Cancri e,9,False,0,0,0,0,0,Shaele Mclainez,M,True
0103_03,Earth,True,G/18/S,TRAPPIST-1e,6,False,0,0,0,0,0,Fanne Mclainez,F,False
0105_01,Earth,,F/21/P,TRAPPIST-1e,27,False,0,0,570,2,131,Carry Cleachrand,M,False
0107_01,Mars,False,D/2/S,TRAPPIST-1e,21,False,1743,5,17,0,0,Coobix Hart,F,False
0108_01,Earth,True,G/19/S,TRAPPIST-1e,23,False,0,0,0,0,0,Natald Handertiz,M,False
0108_02,Earth,False,G/19/S,TRAPPIST-1e,31,False,562,0,326,0,0,,,False
0108_03,Earth,False,G/19/S,TRAPPIST-1e,0,,0,0,0,0,0,Oline Handertiz,M,True
0110_01,Europa,False,,TRAPPIST-1e,32,False,0,410,6,3929,764,Graviph Aloubtled,F,False
0110_02,Europa,,B/5/P,TRAPPIST-1e,40,False,0,331,0,0,1687,Aldeba Bootious,M,False
0110_03,Europa,False,B/5/P,TRAPPIST-1e,42,False,2209,11418,0,1868,445,Alaratz Aloubtled,F,True
0110_04,Europa,True,B/5/P,TRAPPIST-1e,28,False,0,0,0,0,0,Izark Aloubtled,M,True
0111_01,Europa,True,E/6/S,TRAPPIST-1e,29,False,0,0,0,0,0,Aldera Supred,F,True
0112_01,Europa,False,B/1/S,55 Cancri e,48,True,0,2537,87,17,13,Moth Cowtale,M,True
0113_01,Earth,False,F/23/P,TRAPPIST-1e,64,False,0,0,804,0,0,Idary Carvis,F,True
0114_01,Earth,False,G/20/S,TRAPPIST-1e,27,False,82,157,429,238,1,Maura Beckerson,M,False
0115_01,Mars,,F/24/P,TRAPPIST-1e,26,False,0,0,0,0,,Rohs Pead,F,True
0116_01,Europa,False,D/4/P,TRAPPIST-1e,33,False,1,2223,0,12,404,Alhenah Suptive,M,True
0119_01,,False,A/0/P,TRAPPIST-1e,39,False,0,2344,0,65,6898,Batan Coning,F,False
0119_02,Europa,True,A/0/P,TRAPPIST-1e,13,False,0,0,0,0,0,Kleeiak Coning,M,True
0120_01,Mars,True,F/25/P,TRAPPIST-1e,24,False,0,0,0,0,,Bees Sacre,F,True
0122_01,Earth,False,G/21/S,TRAPPIST-1e,29,False,0,0,0,699,74,Shelle Hayder,M,False
0123_01,Earth,False,F/27/P,TRAPPIST-1e,18,False,55,597,49,0,1,Iree Fielson,F,False
0126_01,Mars,True,F/27/S,TRAPPIST-1e,67,False,0,0,0,0,0,Milly Mish,M,True
0127_01,Mars,False,E/7/S,TRAPPIST-1e,35,False,701,0,296,0,25,Miloss Mesty,F,False
0128_01,Mars,False,D/3/S,TRAPPIST-1e,61,True,2353,334,9,316,2,Grohs Fles,M,False
0128_02,Mars,False,E/8/S,TRAPPIST-1e,45,False,2103,6,0,0,0,Barave Fles,F,False
0129_01,Earth,True,G/22/S,PSO J318.5-22,22,False,0,0,,0,0,Race Fowles,M,True
0133_01,Mars,True,F/29/S,TRAPPIST-1e,19,False,0,0,0,0,0,Flynx Blie,F,True
0133_02,Mars,False,D/5/S,TRAPPIST-1e,36,False,2738,0,0,0,0,Egrasp Blie,M,False
0134_01,Earth,False,G/17/P,TRAPPIST-1e,19,False,0,14,730,0,0,Camina Harmontry,F,True
0136_01,Earth,False,G/23/S,PSO J318.5-22,47,False,97,418,126,25,55,,,False
0138_01,Earth,True,G/18/P,TRAPPIST-1e,13,False,0,0,0,0,0,Fayene Gambs,F,True
0138_02,Earth,False,E/5/P,,34,False,0,22,0,564,207,Monah Gambs,M,False
0139_01,Europa,True,C/6/S,55 Cancri e,35,False,0,0,0,0,0,Charda Myling,F,True
0140_01,Earth,True,G/19/P,TRAPPIST-1e,24,False,0,0,0,0,0,Evaley Mejiaddox,M,True
0140_02,Earth,False,F/29/P,TRAPPIST-1e,26,False,440,0,0,0,462,Verney Whitakers,F,False
0141_01,Mars,False,F/30/P,TRAPPIST-1e,31,False,,0,97,0,0,Pyrohs Harte,M,False
0144_01,Earth,False,F/31/S,TRAPPIST-1e,20,False,0,420,210,0,0,Guadae Dayers,F,True
0146_01,Earth,False,G/25/S,TRAPPIST-1e,56,False,0,0,0,0,0,Verly Wolferguson,M,False
0147_01,Earth,True,G/26/S,TRAPPIST-1e,50,False,0,0,0,0,0,Samie Hubbarrison,F,True
0148_01,Mars,False,F/31/P,TRAPPIST-1e,42,False,1072,0,10,0,76,Corsh Pashe,M,False
0149_01,Earth,True,G/27/S,55 Cancri e,,False,0,0,0,0,0,Billya Hubbarrison,F,True
0151_01,Earth,True,G/20/P,55 Cancri e,38,False,0,0,0,0,0,Shanie Simson,M,False
0152_01,Earth,False,F/32/P,,41,False,0,0,0,0,607,Andan Estron,F,False
0160_01,Earth,False,G/22/P,TRAPPIST-1e,22,False,4119,0,0,0,61,Gory Atkinney,M,False
0163_01,Europa,True,B/8/P,TRAPPIST-1e,26,False,0,0,0,0,0,Kabiton Hetforhaft,F,True
0163_02,Europa,True,B/8/P,TRAPPIST-1e,17,False,0,0,0,0,0,Scharab Hetforhaft,M,True
0164_01,Earth,False,G/28/S,TRAPPIST-1e,57,False,50,1688,0,,135,Fany Hutchinton,F,True
0164_02,Earth,True,G/28/S,PSO J318.5-22,17,False,0,0,0,0,0,Ianya Hutchinton,M,False
0165_01,Mars,True,F/37/P,TRAPPIST-1e,35,,0,0,0,0,0,Graven Anche,F,True
0167_01,Mars,True,F/35/S,TRAPPIST-1e,13,False,0,0,0,0,0,Miten Floaf,M,True
0167_02,Mars,False,F/35/S,TRAPPIST-1e,27,False,1365,0,48,22,137,Rios Floaf,F,False
0169_01,Earth,True,G/23/P,TRAPPIST-1e,31,False,0,0,0,0,0,Wandy Fisherry,M,False
0170_01,Earth,False,E/10/S,TRAPPIST-1e,24,False,0,0,0,221,567,Mollie Mcmahoney,F,False
0171_01,Earth,True,G/30/S,PSO J318.5-22,19,False,0,0,0,0,0,Coracy Gordanieves,M,True
0172_01,Earth,True,G/24/P,TRAPPIST-1e,32,False,0,0,0,0,0,Hanna Johnshines,F,True
0173_01,Earth,,E/11/S,TRAPPIST-1e,58,False,0,985,0,5,0,Hilip Grifford,M,True
0174_01,Earth,False,F/38/P,55 Cancri e,21,False,287,0,16,115,175,Doryn Lambles,F,False
0177_01,Europa,False,B/2/S,TRAPPIST-1e,38,False,0,10346,1,14970,2111,Toperon Iniouser,M,False
0178_01,Mars,False,D/6/S,TRAPPIST-1e,38,False,3414,0,161,28,119,Wees Knik,F,False
0179_01,Earth,False,G/26/P,TRAPPIST-1e,19,False,1,219,673,2,11,Elaney Webstephrey,M,True
0179_02,Earth,False,G/26/P,TRAPPIST-1e,0,False,0,0,0,0,0,Raque Webstephrey,F,False
0179_03,Earth,False,G/26/P,TRAPPIST-1e,3,False,0,0,0,0,0,Sallyl Webstephrey,M,True
0181_01,Earth,False,G/27/P,TRAPPIST-1e,20,False,0,0,3,299,92,Nancis Brighttt,F,False
0182_01,Europa,True,C/3/P,TRAPPIST-1e,24,False,0,0,0,0,0,Ksorab Disight,M,True
0183_01,Earth,False,F/36/S,TRAPPIST-1e,37,False,17,146,426,0,232,Stany Weaves,F,True
0186_01,Earth,False,G/28/P,TRAPPIST-1e,25,False,62,0,0,0,956,Camiet Shephendry,M,False
0188_01,Earth,True,G/31/S,TRAPPIST-1e,56,False,0,0,0,0,0,Branda Romez,F,True
0189_01,Earth,False,E/8/P,55 Cancri e,49,False,84,3,401,202,98,Helly Booters,M,False
0190_01,Earth,True,G/32/S,55 Cancri e,11,False,0,0,0,0,0,,,False
0192_01,Earth,True,G/29/P,TRAPPIST-1e,1,False,0,0,0,0,0,Tance Adavisons,M,True
0192_02,Earth,False,G/29/P,TRAPPIST-1e,8,False,0,0,0,0,0,Robyny Adavisons,F,False
0192_03,Earth,False,G/29/P,TRAPPIST-1e,39,False,0,0,10,898,0,Lilace Adavisons,M,False
0193_01,Mars,True,F/41/P,TRAPPIST-1e,2,False,0,0,0,0,0,Sps Raf,F,True
0193_02,Mars,False,F/41/P,TRAPPIST-1e,23,False,,0,8,1072,0,Frook Raf,M,False
0193_03,Mars,False,F/41/P,TRAPPIST-1e,0,False,0,0,0,0,0,Goles Raf,F,True
0195_01,Mars,False,F/42/P,TRAPPIST-1e,39,False,406,0,867,0,0,Bar Floaf,M,True
0196_01,Mars,False,D/5/P,PSO J318.5-22,25,False,1052,0,719,0,7,Caper Emead,F,False
0197_01,Europa,False,C/5/P,TRAPPIST-1e,36,False,0,972,0,795,575,Astrak Dissper,M,False
0198_01,Earth,,G/30/P,PSO J318.5-22,52,False,0,0,0,0,0,Jeroy Cookson,F,True
0199_01,Earth,True,G/33/S,TRAPPIST-1e,18,False,0,0,0,0,0,Regana Morrows,M,False
0200_01,Earth,True,G/31/P,TRAPPIST-1e,15,False,0,0,0,0,0,Elia Colomonson,F,True
0201_01,Europa,True,B/3/S,TRAPPIST-1e,35,False,0,0,0,0,0,Kaffias Bacistion,M,True
0201_02,Europa,True,B/3/S,TRAPPIST-1e,47,False,0,0,0,0,0,Edaruma Bacistion,F,True
0202_01,Europa,True,B/9/P,55 Cancri e,45,False,0,0,0,0,0,Pomera Embleng,M,True
0202_02,Europa,False,A/2/P,55 Cancri e,,False,0,2433,,878,443,Vegas Embleng,F,True
0203_01,Europa,True,C/8/S,TRAPPIST-1e,51,False,0,0,0,0,0,Ancham Heateele,M,True
0205_01,Earth,False,G/34/S,TRAPPIST-1e,29,False,0,2,66,0,705,Carma Oneiles,F,False
0206_01,Europa,False,C/9/S,55 Cancri e,,False,2,1720,12,1125,122,Nuson Brugashed,M,True
0207_01,Earth,True,G/32/P,PSO J318.5-22,19,False,0,0,0,0,0,Thony Mcfaddennon,F,False
0210_01,,True,D/6/P,55 Cancri e,24,False,0,0,,0,0,Arraid Inicont,M,True
0211_01,Mars,False,F/44/P,TRAPPIST-1e,29,False,902,1,137,0,0,Pebuts Appie,F,True
0211_02,Mars,True,F/44/P,TRAPPIST-1e,11,False,0,0,0,0,0,Corsh Appie,M,True
0211_03,Mars,False,F/44/P,TRAPPIST-1e,17,False,848,0,307,182,0,Picers Date,F,False
0212_01,Earth,False,E/9/P,TRAPPIST-1e,13,False,192,0,0,51,739,Inen Workmans,M,False
0212_02,Earth,False,F/45/P,TRAPPIST-1e,35,False,147,188,0,10,387,Shally Workmans,F,False
0213_01,Earth,False,F/46/P,TRAPPIST-1e,21,False,367,281,0,0,146,Carita Navages,M,False
0216_01,Earth,False,F/40/S,55 Cancri e,21,False,0,56,0,0,1918,Searla Garnes,F,False
0217_01,Earth,False,F/47/P,TRAPPIST-1e,38,False,1517,0,0,27,0,Prilly Shieldson,M,False
0219_01,Earth,True,G/36/P,TRAPPIST-1e,19,False,0,0,0,0,0,Nica River,F,True
0220_01,Earth,True,G/37/P,TRAPPIST-1e,2,False,0,0,0,0,0,Tyle Wilsoney,M,True
0220_02,Earth,False,G/37/P,TRAPPIST-1e,0,False,0,0,0,0,0,Wena Wilsoney,F,True
0220_03,Earth,True,G/37/P,TRAPPIST-1e,13,False,0,0,0,0,0,Branca Wilsoney,M,False
0220_04,Earth,False,E/10/P,TRAPPIST-1e,25,False,122,84,,0,0,Dont Wilsoney,F,False
0220_05,Earth,False,F/48/P,TRAPPIST-1e,16,False,0,3,0,0,1099,Velyne Wilsoney,M,False
0220_06,Earth,False,G/37/P,55 Cancri e,1,False,0,0,0,0,0,Weney Wilsoney,F,False
0220_07,Earth,True,G/37/P,TRAPPIST-1e,15,False,0,0,0,0,0,Guye Wilsoney,M,True
0221_01,Mars,False,E/13/S,55 Cancri e,21,False,2237,0,119,0,0,Cowhex Blan,F,False
0221_02,Mars,False,E/13/S,TRAPPIST-1e,23,False,1215,80,1,2,0,Yogark Reke,M,False
0221_03,Mars,False,E/13/S,TRAPPIST-1e,33,False,1933,12,188,1,0,Jacks Reke,F,False
0221_04,Mars,True,E/13/S,TRAPPIST-1e,21,False,0,0,0,0,0,Eerch Reke,M,True
0221_05,Mars,False,E/13/S,TRAPPIST-1e,41,False,1230,0,301,43,1023,Panbug Reke,F,False
0221_06,Mars,False,E/13/S,TRAPPIST-1e,16,False,915,0,221,234,0,Gran Reke,M,False
0221_07,Mars,True,E/13/S,TRAPPIST-1e,42,False,0,0,0,0,0,Rohs Reke,F,False
0222_01,Mars,False,F/41/S,TRAPPIST-1e,20,False,1406,0,0,11,0,Gone Perte,M,False
0222_02,Mars,True,F/41/S,TRAPPIST-1e,24,False,0,0,0,0,0,Colf Deva,F,True
0222_03,Mars,True,E/14/S,TRAPPIST-1e,16,False,0,0,0,0,0,Grake Perte,M,True
0223_01,Earth,False,G/35/S,TRAPPIST-1e,21,False,0,2,665,0,9,Evan Sykess,F,False
0224_01,Mars,False,F/42/S,TRAPPIST-1e,32,True,181,0,5,1634,0,Blues Queen,M,False
0225_01,Earth,True,G/38/P,PSO J318.5-22,58,False,0,0,0,0,0,Carly Hortis,F,True
0229_01,Earth,False,F/43/S,TRAPPIST-1e,24,False,4,7,0,713,79,Done Sellahaney,M,False
0231_01,Mars,False,F/44/S,TRAPPIST-1e,30,False,85,0,1,1720,0,Krus Nate,F,False
0232_01,Earth,True,G/36/S,PSO J318.5-22,27,False,0,,0,0,0,Nica Bakerrison,M,False
0233_01,Mars,False,F/45/S,TRAPPIST-1e,32,False,56,0,256,1438,0,Teda Wist,F,False
0234_01,Earth,False,F/50/P,TRAPPIST-1e,43,False,,888,0,0,0,Keitha Josey,M,False
0237_01,Europa,True,B/11/P,TRAPPIST-1e,42,False,0,0,0,0,0,Weias Aginge,F,True
0239_01,Mars,False,,TRAPPIST-1e,37,False,637,0,0,92,319,Diedow Resty,M,False
0240_01,Mars,True,F/52/P,TRAPPIST-1e,35,False,0,0,0,0,0,Puffes Crie,F,True
0241_01,Europa,,E/11/P,55 Cancri e,33,False,0,1249,0,4812,1116,Alas Dischod,M,False
0242_01,,False,F/46/S,TRAPPIST-1e,18,False,313,1,691,283,0,Almone Sté,F,False
0243_01,Earth,True,G/37/S,TRAPPIST-1e,21,False,0,0,0,0,0,Lilace Cartyernan,M,False
0244_01,Mars,True,,TRAPPIST-1e,43,False,0,0,0,0,0,Froos Sad,F,True
0244_02,Mars,True,F/47/S,55 Cancri e,14,,0,0,0,0,0,Tous Sad,M,True
0245_01,Europa,False,C/6/P,55 Cancri e,46,False,0,3571,0,0,7,Glueba Repumparte,F,True
0245_02,Europa,False,C/6/P,TRAPPIST-1e,33,False,0,86,796,584,10912,Anchib Repumparte,M,False
0246_01,Mars,False,D/8/P,TRAPPIST-1e,21,False,2947,0,287,27,0,Mele Sesa,F,False
0248_01,Europa,False,C/10/S,TRAPPIST-1e,33,False,0,1,0,8620,1063,Genifi Spanxibus,M,False
0250_01,Earth,True,G/38/S,PSO J318.5-22,47,False,,0,0,0,0,Camily Kramosley,F,False
0251_01,,True,C/11/S,55 Cancri e,54,False,0,0,0,0,0,Diphah Amsive,M,True
0252_01,Earth,False,F/53/P,TRAPPIST-1e,30,False,335,695,541,0,0,Leenny Byerry,F,False
0253_01,Earth,False,G/42/P,TRAPPIST-1e,29,False,272,615,0,0,1,Dawne Cardner,M,False
0254_01,Earth,False,F/54/P,TRAPPIST-1e,21,False,702,172,408,2,6,Race Stenson,F,True
0255_01,Europa,True,A/3/S,TRAPPIST-1e,24,False,0,0,0,0,0,Ashir Mingious,M,True
0257_01,Mars,False,F/49/S,55 Cancri e,21,False,1664,0,,0,0,Errohs Berte,F,False
0257_02,Mars,True,F/49/S,TRAPPIST-1e,60,False,0,0,0,0,0,Squars Berte,M,True
0258_01,Earth,False,F/50/S,TRAPPIST-1e,22,False,0,0,313,299,92,Feryla Cooperkins,F,False
0260_01,Europa,False,E/16/S,TRAPPIST-1e,26,False,0,4810,0,981,2054,Segino Inderly,M,False
0261_01,Earth,False,F/56/P,TRAPPIST-1e,26,False,66,29,0,0,803,Dord Bookerson,F,False
0263_01,Earth,True,G/43/P,TRAPPIST-1e,28,False,0,0,0,0,0,Maen Merkins,M,True
0265_01,Europa,True,D/8/S,TRAPPIST-1e,39,False,0,0,0,,0,Etair Herpumble,F,True
0267_01,Earth,False,F/51/S,TRAPPIST-1e,13,False,118,0,0,754,1,Lilace Sancockett,M,False
0269_01,Earth,False,F/52/S,55 Cancri e,47,False,0,231,592,0,0,Lerome Polliamposs,F,True
0270_01,Earth,False,F/59/P,TRAPPIST-1e,63,False,0,25,128,0,1240,Cathya Fryersonis,M,False
0275_01,Europa,True,D/9/S,55 Cancri e,,False,0,0,0,0,0,Terf Obnoble,F,True
0277_01,Earth,False,F/61/P,55 Cancri e,50,False,44,2390,0,53,0,Byront Mcdanield,M,True
0278_01,Earth,False,,TRAPPIST-1e,35,False,0,0,0,888,,Judya Beachez,F,False
0278_02,Earth,False,G/45/P,TRAPPIST-1e,45,False,0,97,0,14,333,Marice Beachez,M,False
0281_01,Earth,False,F/63/P,TRAPPIST-1e,19,False,0,0,2078,0,0,Derine Pierry,F,True
0282_01,Earth,False,F/54/S,TRAPPIST-1e,21,False,0,918,0,0,0,Valex Baketton,M,True
